Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
1,4.0,25.8,38.0,21.6
1,4.0,25.8,38.0,21.6
1,4.0,25.8,38.0,21.6
1,4.0,25.8,38.0,21.6
1,4.0,26.2,31.0,21.6
1,4.0,26.2,31.0,21.6
1,4.0,26.2,31.0,21.6
1,4.0,26.2,31.0,21.6
1,4.0,24.6,53.0,21.6
1,4.0,25.1,51.0,21.6
1,4.0,25.1,51.0,21.6
1,4.0,25.1,51.0,21.6
1,4.0,25.1,51.0,21.6
1,4.0,25.1,51.0,21.6
1,4.0,25.5,41.0,21.6
1,4.0,25.5,41.0,21.6
1,4.0,25.5,41.0,21.6
1,4.0,25.5,41.0,21.6
1,4.0,25.5,41.0,21.6
1,3.0,22.7,44.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,25.2,43.0,21.6
1,4.0,26.7,40.0,21.6
1,4.0,26.7,40.0,21.6
1,4.0,26.7,40.0,21.6
1,4.0,26.5,42.0,21.6
1,4.0,26.5,42.0,21.6
1,4.0,26.5,42.0,21.6
1,4.0,25.6,41.0,21.6
1,4.0,25.6,41.0,21.6
1,4.0,25.6,41.0,21.6
1,4.0,28.3,42.0,21.6
1,4.0,28.3,42.0,21.6
1,4.0,28.3,42.0,21.6
1,4.0,28.3,42.0,21.6
1,6.0,32.7,19.0,21.6
1,6.0,32.7,19.0,21.6
1,6.0,32.7,19.0,21.6
1,6.0,32.7,19.0,21.6
1,6.0,32.7,19.0,21.6
1,4.0,25.7,40.0,21.6
1,4.0,25.7,40.0,21.6
1,4.0,25.7,40.0,21.6
3,4.0,25.3,42.0,31.5
3,4.0,25.3,42.0,31.5
3,4.0,25.3,42.0,31.5
3,4.0,25.3,42.0,31.5
3,4.0,25.3,42.0,31.5
3,4.0,25.3,42.0,31.5
3,4.0,25.4,45.0,31.5
3,4.0,25.4,45.0,31.5
3,4.0,25.4,45.0,31.5
3,4.0,25.4,45.0,31.5
3,4.0,25.4,45.0,31.5
3,4.0,26.4,36.0,31.5
3,4.0,26.4,36.0,31.5
3,5.0,28.7,33.0,31.5
3,7.0,36.5,20.0,31.5
3,7.0,36.5,20.0,31.5
3,7.0,36.5,20.0,31.5
3,7.0,36.5,20.0,31.5
3,7.0,36.5,20.0,31.5
3,6.0,33.4,20.0,31.5
3,6.0,33.4,20.0,31.5
3,6.0,33.4,20.0,31.5
3,6.0,33.4,20.0,31.5
3,6.0,33.4,20.0,31.5
3,6.0,33.4,20.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.0,31.0,31.5
3,5.0,27.2,37.0,31.5
3,5.0,27.2,37.0,31.5
3,5.0,27.2,37.0,31.5
3,5.0,27.2,37.0,31.5
3,5.0,27.2,37.0,31.5
3,5.0,27.2,37.0,31.5
3,4.0,26.1,38.0,31.5
3,4.0,25.8,35.0,31.5
3,4.0,25.8,35.0,31.5
3,4.0,25.8,35.0,31.5
3,4.0,25.8,35.0,31.5
3,4.0,25.4,37.0,31.5
3,4.0,25.4,37.0,31.5
3,4.0,25.5,37.0,31.5
3,4.0,25.5,37.0,31.5
3,3.0,22.6,42.0,31.5
3,3.0,22.6,42.0,31.5
3,4.0,24.1,41.0,31.5
3,3.0,23.5,40.0,31.5
3,4.0,25.2,38.0,31.5
3,4.0,25.8,39.0,31.5
3,4.0,25.8,39.0,31.5
3,5.0,28.6,30.0,31.5
3,4.0,28.3,31.0,31.5
3,4.0,28.3,31.0,31.5
3,4.0,27.0,32.0,31.5
3,4.0,27.0,32.0,31.5
3,4.0,25.9,27.0,31.5
3,4.0,25.9,27.0,31.5
3,5.0,30.1,25.0,31.5
3,7.0,31.1,30.0,31.5
3,5.0,30.2,34.0,31.5
3,5.0,30.2,34.0,31.5
3,5.0,30.2,34.0,31.5
3,5.0,30.2,34.0,31.5
3,5.0,30.2,34.0,31.5
3,7.0,35.0,37.0,31.5
3,7.0,35.0,37.0,31.5
3,7.0,35.0,37.0,31.5
3,7.0,35.0,37.0,31.5
3,7.0,36.0,47.0,31.5
3,7.0,36.0,47.0,31.5
4,5.0,28.3,44.0,27.0
4,5.0,28.3,44.0,27.0
4,5.0,28.3,44.0,27.0
4,5.0,28.3,44.0,27.0
4,5.0,28.2,52.0,27.0
4,5.0,28.2,52.0,27.0
4,5.0,28.2,52.0,27.0
4,5.0,28.4,53.0,27.0
4,5.0,28.4,53.0,27.0
4,4.0,25.3,61.0,27.0
4,4.0,25.3,61.0,27.0
4,4.0,25.3,61.0,27.0
4,4.0,25.3,61.0,27.0
4,4.0,26.2,61.0,27.0
4,4.0,26.2,61.0,27.0
4,4.0,25.7,38.0,27.0
4,4.0,25.7,38.0,27.0
4,4.0,25.7,38.0,27.0
4,4.0,25.7,38.0,27.0
4,6.0,31.2,51.0,27.0
4,6.0,31.2,51.0,27.0
4,4.0,25.5,43.0,27.0
4,4.0,25.2,43.0,27.0
4,4.0,25.2,43.0,27.0
4,4.0,25.2,43.0,27.0
4,4.0,25.2,43.0,27.0
4,4.0,25.2,43.0,27.0
4,4.0,25.6,38.0,27.0
4,4.0,25.6,38.0,27.0
4,4.0,25.6,38.0,27.0
4,5.0,28.3,51.0,27.0
4,5.0,28.3,51.0,27.0
4,5.0,28.3,51.0,27.0
4,5.0,28.3,51.0,27.0
4,5.0,28.3,50.0,27.0
4,5.0,28.3,50.0,27.0
4,4.0,24.9,67.0,27.0
4,4.0,24.9,70.0,27.0
4,4.0,24.9,70.0,27.0
4,4.0,24.9,70.0,27.0
