Season,Thermal preference,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,1,5.0,23.1,43.9,25.9
4,0,5.0,23.2,45.4,25.9
4,0,5.0,22.8,47.3,25.9
4,-1,5.0,23.0,46.0,25.9
4,-1,5.0,23.4,45.0,25.9
4,0,5.0,22.6,46.9,25.9
4,1,5.0,22.2,57.7,25.9
4,-1,5.0,22.4,51.1,25.9
4,0,5.0,23.3,49.5,25.9
4,0,6.0,23.2,40.3,25.9
4,0,6.0,22.8,41.2,25.9
4,1,2.0,23.3,47.3,25.9
4,-1,4.0,23.3,47.3,25.9
4,0,5.0,23.7,49.0,25.9
4,0,5.0,23.6,59.2,25.9
4,-1,5.0,23.9,58.3,25.9
4,0,5.0,23.6,54.6,25.9
4,0,5.0,22.8,56.8,25.9
4,0,4.0,21.7,56.3,25.9
4,1,6.0,21.9,59.7,25.9
4,1,2.0,22.0,55.8,25.9
4,0,6.0,22.7,47.9,25.9
4,-1,5.0,27.1,39.3,25.9
4,-1,5.0,24.5,45.5,25.9
4,-1,5.0,25.4,43.5,25.9
4,0,4.0,25.6,42.3,25.9
4,0,6.0,25.2,42.5,25.9
4,0,4.0,23.8,44.5,25.9
4,-1,5.0,22.7,50.0,25.9
4,-1,5.0,22.4,49.5,25.9
4,0,5.0,24.5,43.2,25.9
4,-1,5.0,25.2,43.5,25.9
4,-1,4.0,25.0,39.8,25.9
4,-1,4.0,24.2,42.6,25.9
4,1,4.0,23.4,42.0,25.9
4,1,2.0,23.7,45.0,25.9
4,0,5.0,24.3,42.7,25.9
4,-1,5.0,22.8,44.9,25.9
4,-1,5.0,24.9,42.3,25.9
4,0,5.0,24.3,43.1,25.9
4,0,5.0,24.7,41.7,25.9
4,-1,4.0,24.4,42.9,25.9
4,0,4.0,25.1,42.3,25.9
4,-1,6.0,24.4,51.2,25.9
4,-1,5.0,27.5,29.4,25.9
4,0,6.0,24.9,29.3,25.9
4,-1,5.0,23.8,43.4,25.9
4,0,5.0,23.8,43.2,25.9
4,0,5.0,23.9,42.4,25.9
4,0,5.0,24.6,40.1,25.9
4,0,5.0,24.7,39.8,25.9
4,-1,3.0,24.7,39.8,25.9
4,0,5.0,24.9,40.8,25.9
4,0,6.0,24.8,40.7,25.9
4,0,5.0,24.3,41.5,25.9
4,0,4.0,24.1,42.0,25.9
4,0,4.0,25.5,40.5,25.9
4,-1,4.0,25.2,38.7,25.9
4,0,4.0,23.9,49.2,25.9
4,-1,4.0,22.5,59.8,25.9
4,0,6.0,22.4,43.4,25.9
4,0,5.0,23.3,36.8,25.9
4,0,5.0,22.9,47.2,25.9
4,0,4.0,27.7,38.1,25.9
4,-1,4.0,23.7,34.5,25.9
4,-1,5.0,24.6,58.1,25.9
4,0,5.0,24.9,51.7,25.9
3,-1,5.0,33.5,25.4,34.0
3,0,5.0,34.5,28.7,33.7
3,-1,5.0,35.1,29.4,34.9
3,-1,4.0,28.6,30.8,35.0
3,-1,5.0,34.3,20.6,34.3
3,-1,5.0,31.8,24.2,34.4
3,0,5.0,27.5,26.5,34.0
3,-1,5.0,33.4,22.2,33.8
3,-1,5.0,34.7,22.9,33.8
3,0,5.0,33.7,28.0,35.3
3,0,5.0,31.9,27.8,32.9
3,1,6.0,22.0,43.7,33.3
3,-1,5.0,31.3,22.5,34.6
3,0,5.0,34.7,15.2,34.5
3,0,5.0,31.5,29.7,37.4
3,-1,4.0,27.3,28.4,36.8
3,-1,4.0,26.8,28.7,36.8
3,-1,4.0,26.6,29.1,36.8
3,0,5.0,27.2,29.0,36.8
3,-1,5.0,26.5,29.0,35.7
3,-1,5.0,26.7,29.1,35.7
3,-1,4.0,26.9,29.0,35.7
3,-1,4.0,27.2,29.3,35.6
3,-1,5.0,27.6,29.1,35.6
3,-1,5.0,28.3,29.3,35.6
3,-1,5.0,28.4,29.4,35.5
3,0,5.0,27.7,29.2,35.5
3,0,5.0,27.1,28.7,35.5
3,-1,4.0,27.1,28.7,36.8
3,-1,4.0,27.2,28.7,35.5
3,-1,5.0,34.6,10.6,37.0
3,-1,6.0,32.4,12.8,33.9
3,0,5.0,33.0,13.3,32.4
3,-1,5.0,27.7,36.0,32.0
3,-1,5.0,29.9,29.9,35.5
3,-1,5.0,28.4,26.1,38.1
3,-1,5.0,28.4,34.6,37.2
3,0,5.0,32.0,17.0,39.1
3,1,5.0,28.1,21.1,39.1
3,1,5.0,27.0,21.7,39.0
3,0,5.0,27.1,21.8,39.1
3,-1,4.0,28.4,21.5,37.1
3,0,4.0,23.2,30.6,40.3
3,0,5.0,32.0,32.5,40.2
3,0,6.0,34.0,25.1,37.7
3,0,5.0,31.5,25.7,37.8
3,-1,5.0,31.4,25.7,38.1
3,0,5.0,31.4,25.7,38.1
3,-1,5.0,35.2,21.7,40.1
3,0,5.0,27.1,59.5,34.7
3,0,5.0,26.6,34.2,34.4
3,0,5.0,26.2,34.6,34.4
3,0,5.0,26.3,34.5,34.3
3,0,5.0,26.4,34.5,34.4
3,0,5.0,26.1,34.3,35.4
3,1,4.0,25.9,34.4,35.4
3,1,5.0,25.4,33.8,35.5
3,1,4.0,23.9,35.5,32.5
3,0,5.0,29.4,26.8,32.2
3,0,5.0,26.3,25.9,30.3
3,1,4.0,25.8,26.1,30.3
3,0,6.0,26.6,25.0,30.0
3,0,5.0,27.3,32.9,34.7
3,-1,4.0,27.3,34.2,34.6
3,0,5.0,26.4,34.7,34.5
3,1,5.0,26.3,32.6,34.3
3,-1,4.0,26.7,32.9,33.3
3,1,4.0,27.0,32.7,33.4
3,1,4.0,28.5,30.3,33.2
3,0,5.0,26.8,33.1,33.2
3,-1,5.0,26.5,33.2,33.2
3,0,5.0,24.2,36.9,33.2
3,0,6.0,27.7,32.6,35.1
3,0,5.0,26.2,36.3,35.1
3,0,5.0,24.1,37.5,35.1
3,0,5.0,25.4,37.0,35.7
3,0,5.0,25.2,35.6,36.9
3,0,5.0,25.6,36.7,36.9
3,-1,5.0,26.0,36.6,37.5
3,1,5.0,28.5,32.6,38.4
3,-1,5.0,33.0,38.5,32.5
3,-1,5.0,33.0,39.0,32.4
3,-1,5.0,33.0,38.3,32.1
3,-1,5.0,32.9,39.4,31.9
3,-1,5.0,33.1,39.2,31.5
3,-1,5.0,33.7,31.4,31.4
3,-1,6.0,33.5,37.3,31.3
3,0,5.0,33.4,37.5,31.4
4,0,5.0,29.6,30.6,33.7
4,-1,5.0,32.1,29.1,33.7
4,-1,5.0,30.2,32.4,39.2
4,0,4.0,27.5,42.4,35.0
4,0,4.0,29.0,68.6,30.8
4,-1,5.0,25.4,45.9,31.1
4,-1,4.0,29.0,79.6,32.3
4,-1,5.0,25.8,48.4,34.2
4,0,5.0,25.4,33.2,34.5
